,energy_list,real_Ni,imag_Ni,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
14,851.1,0.004711921834342723,0.0013390692781923435,0.0077484837303291336,0.010678243725022086,0.0006852881978730394,0.000608943704264937,0.003553717647349244,0.003561689062429724,0.0007429155026231098,0.0006691783806860623,0.00045792921454918233,0.00036210342185305684,0.0007175321481258647,0.0007562814675805602,8.879060845304149e-05,7.391704147295538e-05,0.00021176014986876737,0.00017912641193716414
15,851.2,0.004484945259698856,0.0016164567245955553,0.007617055412348491,0.010090851352354734,0.0006876118121994378,0.000576795888603934,0.0032895311134025227,0.0033667200193778354,0.0005730116917984741,0.0006337090852641101,0.0004598593234224627,0.00034356695186420325,0.0006057507341857137,0.0007160091059278948,8.163455871000157e-05,7.127183689277516e-05,0.00023476489389125495,0.00017067971865609172
16,851.3,0.004120006565996518,0.001938486589141857,0.0074585701227503675,0.00917325075489652,0.0006706222682157377,0.000526575871746108,0.0032375939444336337,0.0030621472691770317,0.0005809044949840304,0.0005783003871177407,0.000435413544302407,0.00031461002847192284,0.0006462778562662003,0.0006530972520580001,8.296192594576933e-05,6.713960532812193e-05,0.00021705467615317455,0.00015748463618325936
17,851.4,0.003631839467960874,0.0022842938629872335,0.0065180655424383815,0.008125367186320294,0.0005952458363797477,0.00046922550533973293,0.002656528526935274,0.002714330603347074,0.00040374547943551267,0.0005150246389277176,0.00036224939156957996,0.0002815417367736133,0.0005236750244673351,0.000581253033427864,7.104389333487212e-05,6.24206703468821e-05,0.00018451358380373243,0.00014241608659034264
18,851.5,0.003047159139264692,0.0026215366479867734,0.006483749962331249,0.007145674901754701,0.0006787587404545078,0.0004156072282999703,0.0026853113214473554,0.0023891481936067207,0.00037821641003043805,0.0004558665757985205,0.00037379011417072516,0.0002506253723872378,0.0004780036572966761,0.0005140840952048694,5.753688933447279e-05,5.800882123394219e-05,0.00017654037843974519,0.00012832812661227693
19,851.6,0.002401381688863731,0.002911530611401472,0.005954235528565118,0.006360025570518698,0.0006087112252650156,0.0003726088663020548,0.0022860978801083932,0.0021283731045638353,0.0003209252802446284,0.0004084256665794798,0.0003647917318252593,0.0002258324640556439,0.0004011609306483203,0.0004602189865109416,4.8172895526769086e-05,5.447080592066213e-05,0.00016029016176211312,0.00011703050131745833
20,851.7,0.0017341972877540817,0.0031177672364078807,0.005510046423268469,0.005789975231006534,0.0005227913270223549,0.0003414101751292169,0.0021172657414277153,0.0019391602813169243,0.0002853312136337756,0.0003740035582267187,0.0003197401429536547,0.0002078432604122266,0.0003791012191895819,0.00042113561651618077,4.6725861723630776e-05,5.1903697733397996e-05,0.00013702569011769724,0.00010883318620632513
21,851.8,0.0010848399871798322,0.003215341610898344,0.005326265928798355,0.005376341968889207,0.00045307920881408484,0.00031877214562702307,0.0019836700564889957,0.0018018658848588387,0.00025700338453202445,0.0003490265904398152,0.0003165874048550632,0.0001947901448009152,0.0003374071221744699,0.0003927763985578052,4.404642442577716e-05,5.004098270613415e-05,0.00012554143839978683,0.00010288514626142597
22,851.9,0.0004878850445136323,0.0031979700246164314,0.004407927556488623,0.00503666788502996,0.00038925563244462784,0.0003001818806851403,0.0016019617606699596,0.0016891202412972234,0.00022994058057148806,0.0003285155981487943,0.0002640279691971295,0.00018407097520588538,0.00027695567089407343,0.00036948791510832,4.36427682649058e-05,4.851132811032646e-05,0.00010894868121616554,9.80006381619087e-05
23,852.0,-2.979534104472685e-05,0.003079894451347258,0.005053910073266959,0.0047150362335444,0.00043656321622554306,0.0002825790728792629,0.0017951770801846703,0.0015823632961558009,0.00026928906599030066,0.00030909408606516334,0.0002753305974180889,0.0001739211746081105,0.00030863182301468767,0.00034743644357022115,4.094125028510776e-05,4.706292401584166e-05,0.00013819913812545694,9.337557996231607e-05
24,852.1,-0.00045060144385847533,0.0028918911823613913,0.004868942387785079,0.004396365647058126,0.00040132571848603923,0.00026513832330939043,0.0016961623003626124,0.0014765891966150174,0.00026872012161014813,0.0002898513759103799,0.00022949329345934194,0.00016386481698822962,0.0003100769641786854,0.0003255879863817752,4.731871416092e-05,4.5627854487930746e-05,0.0001191283860504597,8.879310183185286e-05
25,852.2,-0.0007663177927223746,0.002672911707038274,0.004356710535531975,0.0040896684367314265,0.0002837963918605793,0.00024835287317398285,0.0013944431743018169,0.0013747893361017725,0.0002660479162566486,0.00027133167006406856,0.0001829697118164465,0.00015418630582699343,0.0002801925547379554,0.00030456043895882756,5.1532388130068125e-05,4.424670467524137e-05,0.00010595947790237644,8.438280066633662e-05
